image_path,name,kind,city,OSM,WikiData
data\EKB\Александро-Невская часовня_1.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_10.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_11.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_12.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_13.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_14.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_16.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_17.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_19.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_2.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_20.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_21.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_23.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_24.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_27.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_28.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_29.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_3.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_4.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_5.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_7.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_8.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невская часовня_9.jpg,Александро-Невская часовня,"religion,churches,interesting_places,other_churches",Екатеринбург,node/210073292,Q54901778
data\EKB\Александро-Невский собор_1.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_10.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_12.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_13.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_15.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_16.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_17.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_18.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_19.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_2.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_20.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_25.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_26.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_27.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_3.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_4.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_5.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_6.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_7.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_8.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Александро-Невский собор_9.jpg,Александро-Невский собор,"religion,churches,interesting_places,eastern_orthodox_churches",Екатеринбург,way/50837336,Q4061042
data\EKB\Белая башня_1.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_10.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_11.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_12.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_13.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_15.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_16.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_17.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_18.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_19.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_2.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_3.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_33.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_35.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_36.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_38.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_4.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_5.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_6.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_7.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Белая башня_9.jpg,Белая башня,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/150512875,Q4081645
data\EKB\Водонапорная башня_1.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_10.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_11.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_14.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_15.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_16.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_17.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_18.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_2.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_29.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_3.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_31.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_32.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_33.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_34.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_38.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_39.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_4.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_5.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_6.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_7.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_8.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Водонапорная башня_9.jpg,Водонапорная башня,"cultural,museums,interesting_places,other_museums",Екатеринбург,node/6962835349,Q16630837
data\EKB\Второй Дом Советов_1.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_10.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_11.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_14.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_17.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_19.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_2.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_22.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_23.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_24.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_25.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_29.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_3.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_4.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_5.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Второй Дом Советов_8.jpg,Второй Дом Советов,"other,unclassified_objects,interesting_places,historic_object",Екатеринбург,way/52170650,Q4128054
data\EKB\Гимназия № 9_1.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_10.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_11.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_12.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_13.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_14.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_17.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_18.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_20.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_21.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_23.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_24.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_26.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_27.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_3.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_5.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_6.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Гимназия № 9_8.jpg,Гимназия № 9,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,way/62228491,Q15298893
data\EKB\Городок Чекистов_10.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_13.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_14.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_15.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_2.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_22.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_24.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_25.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_28.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_30.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_31.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_32.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_4.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_8.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Городок Чекистов_9.jpg,Городок Чекистов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Екатеринбург,node/6408389385,Q4145398
data\EKB\Динамо_11.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_15.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_16.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_18.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_2.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_20.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_23.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_29.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_3.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_30.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_31.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_35.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_38.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_4.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_5.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_6.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Динамо_8.jpg,Динамо,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Екатеринбург,way/38411380,Q37996725
data\EKB\Добровольцам-танкистам_1.jpg,Добровольцам-танкистам,"historic,monuments_and_memorials,burial_places,interesting_places,war_memorials,monuments",Екатеринбург,node/459436046,Q4343452
data\EKB\Добровольцам-танкистам_10.jpg,Добровольцам-танкистам,"historic,monuments_and_memorials,burial_places,interesting_places,war_memorials,monuments",Екатеринбург,node/459436046,Q4343452
data\EKB\Добровольцам-танкистам_11.jpg,Добровольцам-танкистам,"historic,monuments_and_memorials,burial_places,interesting_places,war_memorials,monuments",Екатеринбург,node/459436046,Q4343452
data\EKB\Добровольцам-танкистам_12.jpg,Добровольцам-танкистам,"historic,monuments_and_memorials,burial_places,interesting_places,war_memorials,monuments",Екатеринбург,node/459436046,Q4343452
